timestamp,ORCHIDS,TRANSPORT_FEES,EXPORT_TARIFF,IMPORT_TARIFF,SUNLIGHT,HUMIDITY,DAY,CHOCOLATE,GIFT_BASKET,ROSES,STRAWBERRIES,COCONUT,COCONUT_COUPON
0,1098.25,0.9,10.5,-5.0,2100.0,70.0,1,7988.0,71114.5,14545.5,4030.5,10000.0,637.5
100,1098.25,0.9,9.5,-5.0,2099.757,70.02271,1,7988.0,71114.0,14543.5,4030.5,9999.5,637.5
200,1096.75,0.9,9.5,-5.0,2099.5132,70.045395,1,7987.5,71115.5,14543.5,4030.0,9998.5,637.5
300,1097.0,0.9,9.5,-5.0,2099.2683,70.06803,1,7988.5,71123.5,14541.5,4030.0,9999.5,638.5
400,1097.25,0.9,9.5,-5.0,2099.0225,70.09064,1,7989.5,71132.5,14547.5,4030.0,9998.5,637.5
500,1097.75,0.9,9.5,-5.0,2098.7756,70.1132,1,7989.5,71139.5,14550.0,4030.5,9996.5,637.5
600,1097.25,0.9,9.5,-5.0,2098.528,70.13572,1,7990.0,71142.5,14550.5,4030.5,9997.0,636.5
700,1097.25,0.9,9.5,-5.0,2098.2795,70.15821,1,7989.0,71141.5,14548.0,4031.0,9998.0,639.5
800,1096.75,0.9,9.5,-5.0,2098.03,70.18066,1,7991.0,71144.5,14550.5,4030.5,9997.0,636.5
900,1097.25,0.9,9.5,-5.0,2097.7795,70.20307,1,7991.5,71149.5,14552.5,4030.5,9996.5,634.5
1000,1097.5,0.9,9.5,-5.0,2097.528,70.22544,1,7990.5,71146.0,14551.0,4030.0,9999.5,636.5
1100,1096.25,0.9,9.5,-5.0,2097.276,70.24778,1,7991.5,71152.0,14550.0,4030.5,9998.0,635.5
1200,1098.25,0.9,9.5,-5.0,2097.0225,70.27007,1,7990.5,71138.5,14545.5,4030.5,9997.5,635.5
1300,1097.75,0.9,9.5,-5.0,2096.7683,70.292336,1,7990.0,71138.5,14545.5,4030.5,9999.0,634.5
1400,1098.75,0.9,9.5,-5.0,2096.5132,70.31456,1,7989.5,71145.5,14548.5,4031.0,9999.5,634.5
1500,1097.75,0.9,9.5,-5.0,2096.2573,70.33675,1,7989.5,71127.5,14551.5,4030.5,10001.5,634.5
1600,1098.25,0.9,9.5,-5.0,2096.0005,70.358894,1,7990.0,71135.5,14553.0,4030.5,10002.0,635.5
1700,1098.75,0.9,9.5,-5.0,2095.7424,70.381004,1,7990.5,71140.5,14555.5,4031.0,10001.5,635.5
1800,1098.75,0.9,9.5,-5.0,2095.484,70.403076,1,7992.0,71141.5,14553.5,4030.5,10002.0,636.0
1900,1100.75,0.9,9.5,-5.0,2095.224,70.42511,1,7992.0,71146.5,14552.5,4030.5,10001.0,635.5
2000,1100.75,0.9,9.5,-5.0,2094.9636,70.44711,1,7990.5,71147.5,14556.0,4030.5,10002.0,637.5
2100,1100.75,0.9,9.5,-5.0,2094.7021,70.46907,1,7991.0,71146.5,14557.5,4030.5,10002.5,637.5
2200,1101.75,0.9,9.5,-5.0,2094.4397,70.491,1,7990.5,71142.5,14555.0,4031.5,10001.5,635.5
2300,1102.75,0.9,9.5,-5.0,2094.1765,70.512886,1,7990.0,71137.5,14556.5,4031.5,10002.0,634.5
2400,1102.75,0.9,9.5,-5.0,2093.9124,70.53474,1,7990.5,71160.5,14559.0,4032.0,10001.0,634.5
2500,1100.25,0.9,9.5,-5.0,2093.6472,70.55655,1,7990.5,71160.5,14561.5,4032.5,10001.0,634.5
2600,1098.25,0.9,9.5,-5.0,2093.381,70.57833,1,7989.5,71159.5,14561.5,4033.5,10000.5,633.5
